id,file,offset,category,original,translation,status,note
DATA5.BIN#40401,DATA5.BIN,40401,对话,"はーい、あれが今回のターゲットでーす。
それでは、目標をロックオンしまーす。",,untranslated,
DATA5.BIN#40522,DATA5.BIN,40522,对话,"システム・オールグリーン。
カウントダウン開始。
エネルギー充填…８０％…９０％…。",,untranslated,
DATA5.BIN#40650,DATA5.BIN,40650,菜单,ファイアー！,,untranslated,
DATA5.BIN#40741,DATA5.BIN,40741,对话,"やりましたぁ！
大成功です！",,untranslated,
DATA5.BIN#40796,DATA5.BIN,40796,对话,"（大成功って言っても…
いくら何でも、やりすぎだよなぁ…）",,untranslated,
DATA5.BIN#40885,DATA5.BIN,40885,对话,てへへ、失敗しちゃったぁ。,,untranslated,
DATA5.BIN#40939,DATA5.BIN,40939,菜单,（あ、あのなぁ…）,,untranslated,
DATA5.BIN#49998,DATA5.BIN,49998,菜单,峺2甁Dえ,,untranslated,
DATA5.BIN#50460,DATA5.BIN,50460,菜单,j &]蓊が,,untranslated,
DATA5.BIN#50853,DATA5.BIN,50853,菜单,"c礇2巉""パ",,untranslated,
DATA5.BIN#51023,DATA5.BIN,51023,菜单,"勗-aРぐ訝橙""i",,untranslated,
DATA5.BIN#52995,DATA5.BIN,52995,菜单,示止1ゐ1,,untranslated,
DATA5.BIN#58644,DATA5.BIN,58644,菜单,#ゎy栂,,untranslated,
DATA5.BIN#75236,DATA5.BIN,75236,菜单,r2齡~ヒ,,untranslated,
DATA5.BIN#77125,DATA5.BIN,77125,菜单,0圸慄ン,,untranslated,
DATA5.BIN#80176,DATA5.BIN,80176,菜单,4孫8イ,,untranslated,
DATA5.BIN#123857,DATA5.BIN,123857,对话,"各パーツ、リフト・オフ！
…合体開始！",,untranslated,
DATA5.BIN#137111,DATA5.BIN,137111,菜单,6Gび鞣,,untranslated,
DATA5.BIN#144234,DATA5.BIN,144234,菜单,)7Kづ騾,,untranslated,
DATA5.BIN#164943,DATA5.BIN,164943,菜单,*2J`ぽ杞1,,untranslated,
DATA5.BIN#188414,DATA5.BIN,188414,菜单,≦{ヱ肢,,untranslated,
DATA5.BIN#193673,DATA5.BIN,193673,菜单,xp{~|≧準ユ騰,,untranslated,
DATA5.BIN#198498,DATA5.BIN,198498,菜单,ヤ諮随書,,untranslated,
DATA5.BIN#198677,DATA5.BIN,198677,菜单,窮пヨ穴,,untranslated,
DATA5.BIN#209321,DATA5.BIN,209321,菜单,爽ゲK06,,untranslated,
DATA5.BIN#209864,DATA5.BIN,209864,菜单,宴yラ視,,untranslated,
DATA5.BIN#214528,DATA5.BIN,214528,菜单,|ュパs,,untranslated,
DATA5.BIN#220250,DATA5.BIN,220250,菜单,リ鰹巨椨,,untranslated,
DATA5.BIN#223213,DATA5.BIN,223213,菜单,0醇ポ準|,,untranslated,
DATA5.BIN#266167,DATA5.BIN,266167,菜单,「おばあちゃんと私,,untranslated,
DATA5.BIN#266194,DATA5.BIN,266194,对话,"「わたしには大好きなおばあちゃんがいます。
もえぎの高校の近くで
駄菓子屋さんをやっているおばあちゃんです。
おばあちゃんはよく、わたしに
『女の子なら優しさと思いやりを
いつまでも忘れないでいてね…』
って、言い聞かせてくれます。
本当にその通りだと思いますし、
わたし自身、そうありたいと願っています。
将来のことはまだ分かりませんが、
ずっとずっと遠い未来には
おばあちゃんみたいに子供に好かれる
素敵なお婆さんになれたらいいなと
思っています。
そのためにも、日々優しさと思いやりを
忘れずに過ごしていきたいと思います",,untranslated,
